CMDLINE jupyter-lab
MEM 3.375000 1701693757.4407
MEM 3.375000 1701693757.5503
MEM 3.375000 1701693757.6593
MEM 3.375000 1701693757.7701
MEM 3.375000 1701693757.8791
MEM 3.375000 1701693757.9870
MEM 3.375000 1701693758.0962
MEM 3.375000 1701693758.2050
MEM 3.375000 1701693758.3140
MEM 3.375000 1701693758.4226
MEM 3.375000 1701693758.5310
MEM 3.375000 1701693758.6391
MEM 3.375000 1701693758.7483
MEM 3.375000 1701693758.8577
MEM 3.375000 1701693758.9668
MEM 3.375000 1701693759.0744
MEM 3.375000 1701693759.1834
